Transcript_ID	Locus_ID	Description	RAP-DB Gene Symbol Synonym(s)	RAP-DB Gene Name Synonym(s)	CGSNL Gene Symbol	CGSNL Gene Name	Oryzabase Gene Symbol Synonym(s)	Oryzabase Gene Name Synonym(s)	GO	InterPro	Transcript evidence	ORF evidence	Curation Date	Literature PMID	FLcDNA clone ID	Oryzabase Trait Gene ID
Os01t0101200-02	Os01g0101200	2, 3-diketo-5-methylthio-1-phosphopentane phosphatase domain containing protein.							Biological Process: L-methionine salvage from methylthioadenosine (GO:0019509), Molecular Function: acireductone synthase activity (GO:0043874), Molecular Function: metal ion binding (GO:0046872)	2, 3-diketo-5-methylthio-1-phosphopentane phosphatase (IPR010041), HAD-like domain (IPR023214)	AK119457 (DDBJ, Best hit)	Q7F2F8 (UniProt)			001-133-E05	
Os01t0101300-01	Os01g0101300	Similar to MRNA, partial cds, clone: RAFL22-26-L17. (Fragment).									AK287446 (DDBJ, Best hit)	Q680Z5 (UniProt)			J043016L21	
Os01t0101600-01	Os01g0101600	Immunoglobulin-like fold domain containing protein.							Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)	RNA recognition motif domain (IPR000504), Zinc finger, CCCH-type (IPR000571), Filamin/ABP280 repeat (IPR001298), Nucleotide-binding, alpha-beta plait (IPR012677), Immunoglobulin-like fold (IPR013783), Immunoglobulin E-set (IPR014756), Filamin/ABP280 repeat-like (IPR017868)	AK099952 (DDBJ, Best hit)	Q7F2F5 (UniProt)			J013123J12	
Os01t0101600-02	Os01g0101600	Immunoglobulin-like fold domain containing protein.							Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)	RNA recognition motif domain (IPR000504), Zinc finger, CCCH-type (IPR000571), Filamin/ABP280 repeat (IPR001298), Nucleotide-binding, alpha-beta plait (IPR012677), Immunoglobulin-like fold (IPR013783), Immunoglobulin E-set (IPR014756), Filamin/ABP280 repeat-like (IPR017868)	AK122118 (DDBJ, Best hit)	Q7F2F5 (UniProt)			J033128C08	
Os01t0101600-03	Os01g0101600	Hypothetical conserved gene.									AK103820 (DDBJ, Best hit)	Q7F2F5 (UniProt)			J033147H07	
Os01t0101700-00	Os01g0101700	Similar to chaperone protein dnaJ 20.					OsDjC1	DnaJ domain protein C1, rice DJC26 homolog	Biological Process: protein folding (GO:0006457), Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)	Heat shock protein DnaJ, N-terminal (IPR001623), Heat shock protein DnaJ (IPR003095), Heat shock protein DnaJ, conserved site (IPR018253)	FP098445 (DDBJ)	NP_001151671.1 (RefSeq)				12158
Os01t0101800-01	Os01g0101800	Conserved hypothetical protein.									AK103498 (DDBJ, Best hit)	B8ACS0 (UniProt)			J033131A17	
Os01t0101850-00	Os01g0101850	Hypothetical protein.									tplb0054b05 (Wheat FLcDNA)	longestORF				
Os01t0101900-00	Os01g0101900	Similar to OSIGBa0075F02.3 protein.								Protein of unknown function DUF3339 (IPR021775)	AK333373 (DDBJ)	Q01LF6 (UniProt)				
Os01t0102000-01	Os01g0102000	Non-specific phospholipase C, Mesocotyl development	OsNPC6	non-specific phospholipase C6	NPC5	NON-SPECIFIC PHOSPHOLIPASE C5	OsNPC6, OsNPC5, NPC6	Non-specific phospholipase C5	Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)	Alkaline-phosphatase-like, core domain superfamily (IPR017850), Phosphoesterase (IPR007312)	AK101065 (truncated), Inferred from literature	Inferred from literature	May 24, 2021	34021760	J033023E01	21052
Os01t0102300-01	Os01g0102300	Thylakoid lumen protein, Photosynthesis and chloroplast development	OsTLP27		TLP27	THYLAKOID LUMENAL PROTEIN 27	OsTLP27	Thylakoid lumenal protein 27			AK067320	Q94CX1	March 7, 2017	22921006	J013106P10	22606
Os01t0102400-01	Os01g0102400	Histone-fold domain containing protein.			HAP5H	HAP5H SUBUNIT OF CCAAT-BOX BINDING COMPLEX	OsHAP5H, OsNF-YC9, NF-YC9, NFYC9	NUCLEAR FACTOR-Y subunit C9, NUCLEAR FACTOR-Y subunit NF-YC9, NF-YC transcription factor 9, NF-YC subunit 9, NF-YC family 9	Cellular Component: intracellular (GO:0005622), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding (GO:0043565)	Transcription factor CBF/NF-Y/archaeal histone (IPR003958), Histone-fold (IPR009072)	AK242226 (DDBJ, Best hit)	NP_001041748.1 (RefSeq)			J075175B02	20924
Os01t0102500-01	Os01g0102500	Conserved hypothetical protein.									AK100002 (DDBJ, Best hit)	B8ACS1 (UniProt)			J013135E13	
Os01t0102600-01	Os01g0102600	Shikimate kinase domain containing protein.					OsSK4, OsSKL1	Shikimate kinase 4	Molecular Function: shikimate kinase activity (GO:0004765), Molecular Function: ATP binding (GO:0005524)	Shikimate kinase (IPR000623)	AK064812 (DDBJ, Best hit)	NP_001150361.1 (RefSeq)			J013000E05	11366
Os01t0102600-02	Os01g0102600	Similar to shikimate kinase family protein.					OsSK4, OsSKL1	Shikimate kinase 4			AK062086 (DDBJ, Best hit)	NP_001150361.1 (RefSeq)			001-044-G05	11366
Os01t0102700-01	Os01g0102700	Translocon-associated beta family protein.							Cellular Component: endoplasmic reticulum (GO:0005783), Cellular Component: integral to membrane (GO:0016021)	Translocon-associated beta (IPR008856)	AK063774 (DDBJ, Best hit), AK099081 (DDBJ, Best hit), AK099360 (DDBJ, Best hit)	B7ENG6 (UniProt)			001-121-C11, J023002L13, J033046F10	
Os01t0102800-01	Os01g0102800	Similar to chromatin remodeling complex subunit.					CSB, OsCBS	Cockayne syndrome WD-repeat protein	Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA binding (GO:0003677), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524)	SNF2-related (IPR000330), Helicase, C-terminal (IPR001650), DEAD-like helicase (IPR014001)	AK064456 (DDBJ, Best hit)	XP_002307656.1 (RefSeq)			002-110-F11	18092
Os01t0102850-00	Os01g0102850	Similar to nitrilase 2.									FP097470 (DDBJ)	NP_001105196.1 (RefSeq)				
Os01t0102900-01	Os01g0102900	Light-regulated protein, Regulation of light-dependent attachment of LEAF-TYPE FERREDOXIN-NADP+ OXIDOREDUCTASE (LFNR) to the thylakoid membrane	LIR1, Lir1	LIGHT-REGULATED GENE 1, light-regulated gene 1, LIGHT-INDUCED RICE1	LIR1	LIGHT-REGULATED GENE 1	Lir1, OsLIR1, Os-LIR1	light-regulated gene 1, LIGHT-INDUCED RICE1, LIGHT-INDUCED RICE 1		Light regulated Lir1 (IPR009856)	X68807 (Nohrin), AK120535, AK067670	Q03200	April 20, 2016	26941088, 8499615	J013128K04, J013120E23	14464
Os01t0103000-01	Os01g0103000	Snf7 family protein.							Biological Process: protein transport (GO:0015031)	Snf7 (IPR005024)	AK108287 (DDBJ, Best hit)	B6TYU1 (UniProt)			002-141-D09	
Os01t0103050-01	Os01g0103050	Non-protein coding transcript.									AK066123 (DDBJ, Best hit), AK068676 (DDBJ, Best hit)	NONE			J013055A22, J013158I15	
Os01t0103075-00	Os01g0103075	Hypothetical protein.									tplb0038k08 (Wheat FLcDNA)	longestORF				
Os01t0103100-01	Os01g0103100	Nitrate transporter, Regulation of nitrogen use efficiency (NUE)	OsNPF6.1		NPF6.1	NITRATE TRANSPORTER 1/PEPTIDE TRANSPORTER 6.1	OsNPF6.1	NRT1/PTR family protein 6.1	Biological Process: oligopeptide transport (GO:0006857), Biological Process: transmembrane transport (GO:0055085), Molecular Function: transmembrane transporter activity (GO:0022857), Cellular Component: membrane (GO:0016020)	MFS transporter superfamily (IPR036259), Proton-dependent oligopeptide transporter family (IPR000109), PTR2 family proton/oligopeptide symporter, conserved site (IPR018456)	AK070557	Q9FTZ3	December 11, 2019	31754193	J023061L16	23441
Os01t0103100-02	Os01g0103100	Similar to predicted protein.			NPF6.1	NITRATE TRANSPORTER 1/PEPTIDE TRANSPORTER 6.1	OsNPF6.1	NRT1/PTR family protein 6.1	Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)	Oligopeptide transporter (IPR000109), Major facilitator superfamily domain, general substrate transporter (IPR016196), PTR2 family proton/oligopeptide symporter, conserved site (IPR018456)	AK058723 (DDBJ, Best hit)	XP_002873609.1 (RefSeq)			001-019-E11	23441
Os01t0103400-01	Os01g0103400	Hypothetical gene.									AK109199 (DDBJ, Best hit)	longestORF			002-156-B12	
Os01t0103600-01	Os01g0103600	Similar to sterol-8, 7-isomerase.							Biological Process: sterol metabolic process (GO:0016125), Cellular Component: endoplasmic reticulum (GO:0005783), Cellular Component: integral to membrane (GO:0016021), Molecular Function: cholestenol delta-isomerase activity (GO:0047750)	Emopamil-binding (IPR007905)	AK102848 (DDBJ, Best hit)	NP_001105846.1 (RefSeq)			J033110C04	
Os01t0103600-02	Os01g0103600	Emopamil-binding family protein.							Biological Process: sterol metabolic process (GO:0016125), Cellular Component: endoplasmic reticulum (GO:0005783), Cellular Component: integral to membrane (GO:0016021), Molecular Function: cholestenol delta-isomerase activity (GO:0047750)	Emopamil-binding (IPR007905)	AK059848 (DDBJ, Best hit)	B6TIR9 (UniProt)			006-206-F06	
Os01t0103650-00	Os01g0103650	Hypothetical gene.									AK242117 (DDBJ, Secondary hit)	longestORF				
Os01t0103700-01	Os01g0103700	Conserved hypothetical protein.									AK070525 (DDBJ, Best hit)	B9ETK1 (UniProt)			J023061E16	
Os01t0103800-01	Os01g0103800	Conserved hypothetical protein.					OsDW1-01g				AK102782 (DDBJ, Best hit)	A2WJN5 (UniProt)			J033107K12	21687
Os01t0103900-01	Os01g0103900	Polynucleotidyl transferase, Ribonuclease H fold domain containing protein.									AK069975 (DDBJ, Best hit)	B9EYR9 (UniProt)			J023037J01	
Os01t0104000-01	Os01g0104000	C-type lectin domain containing protein.							Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: binding (GO:0005488), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)	Protein kinase, catalytic domain (IPR000719), Serine-threonine/tyrosine-protein kinase (IPR001245), C-type lectin (IPR001304), Tyrosine-protein kinase, active site (IPR008266), Protein kinase-like domain (IPR011009), C-type lectin-like (IPR016186), C-type lectin fold (IPR016187)	AK103808 (DDBJ, Best hit)	NP_175641.1 (RefSeq)			J033147A10	
Os01t0104000-02	Os01g0104000	Similar to predicted protein.							Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: binding (GO:0005488), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)	Protein kinase, catalytic domain (IPR000719), Serine-threonine/tyrosine-protein kinase (IPR001245), C-type lectin (IPR001304), Tyrosine-protein kinase, active site (IPR008266), Protein kinase-like domain (IPR011009), C-type lectin-like (IPR016186), C-type lectin fold (IPR016187)	AK072087 (DDBJ, Best hit)	NP_175641.1 (RefSeq)			J013116I09	
Os01t0104100-01	Os01g0104100	Chaperone protein to regulate catalase (CAT) activity, Cold inducible zinc finger protein, Tolerance to cold, salt and drought	OsNCA1a, OsCOIN	NO CATALASE ACTIVITY 1a, cold-inducible	NCA1A	NO CATALASE ACTIVITY 1A	OsCOIN, COIN, OsNCA1a, NCA1a	cold-inducible, cold-inducible zinc finger protein	Molecular Function: protein binding (GO:0005515)	Zinc finger, RING/FYVE/PHD-type (IPR013083), Tetratricopeptide-like helical domain superfamily (IPR011990), Zinc finger, RING-type (IPR001841), Zinc finger, RING-type, conserved site (IPR017907)	AK072797	Q658D5	April 9, 2019	30885124, 17549515	J023139M11	20542
Os01t0104100-02	Os01g0104100	Similar to protein binding / zinc ion binding.			NCA1A	NO CATALASE ACTIVITY 1A	OsCOIN, COIN, OsNCA1a, NCA1a	cold-inducible, cold-inducible zinc finger protein	Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)	Zinc finger, RING-type (IPR001841), Tetratricopeptide-like helical (IPR011990), Zinc finger, RING/FYVE/PHD-type (IPR013083), Zinc finger, RING-type, conserved site (IPR017907)	AK104280 (DDBJ, Best hit)	NP_191004.1 (RefSeq)	April 9, 2019		001-006-B04	20542
Os01t0104200-00	Os01g0104200	No apical meristem (NAM) protein domain containing protein.			NAC16	NAC DOMAIN-CONTAINING PROTEIN 16	ONAC016, ONAC16	NAC domain-containing protein 016, NAC domain-containing protein 16	Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677)	No apical meristem (NAM) protein (IPR003441)	ab initio prediction	A2ZNA6 (UniProt)				15826
Os01t0104350-00	Os01g0104350	Non-protein coding transcript.									CT834982 (DDBJ, Best hit)	NONE				
Os01t0104400-01	Os01g0104400	S-type euonymus-related lectin (EUL), Response to ABA treatment	OsEULS3	Euonymus lectin S3	EULS3	EUL-RELATED LECTIN S3	OsEULS3	EUL-related lectin S3		Ricin B-like lectins (IPR035992)	AK071375	Q9FTY4	March 27, 2020	32194594	J023095C18	23520
Os01t0104400-02	Os01g0104400	Ricin B-related lectin domain containing protein.			EULS3	EUL-RELATED LECTIN S3	OsEULS3	EUL-related lectin S3		Ricin B-related lectin (IPR008997)	AK060132 (DDBJ, Best hit)	NP_001149550.1 (RefSeq)			006-309-C04	23520
Os01t0104400-03	Os01g0104400	Ricin B-related lectin domain containing protein.			EULS3	EUL-RELATED LECTIN S3	OsEULS3	EUL-related lectin S3		Ricin B-related lectin (IPR008997)	AK104820 (DDBJ, Best hit), AK104555 (DDBJ, Best hit)	NP_001149550.1 (RefSeq)			001-041-A11, 006-305-F10	23520
Os01t0104500-01	Os01g0104500	NAC transcription factor, Regulation of starch and storage protein synthesis	OsNAC20		NAC20	NAC DOMAIN-CONTAINING PROTEIN 20	ONAC020, ONAC20, DLN1, OsDLN1	NAC domain-containing protein 020, NAC domain-containing protein 20, DLN repressor 1, DLN motif protein 1	Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677)	NAC domain superfamily (IPR036093), NAC domain (IPR003441)	AK242268	Q9FTY0	September 29, 2020	32989010	J075186C19	15827
Os01t0104600-01	Os01g0104600	Homolog of Arabidopsis DE-ETIOLATED1 (DET1), Modulation of the ABA signaling pathway and ABA biosynthesis, Regulation of chlorophyll content	OsDET1	DE-ETIOLATED1			OsDET1	DE-ETIOLATED1		De-etiolated protein 1, Det1 (IPR019138)	AK100613, GQ898934 (Chongqing 2, indica)	Q658D0, D0EW63 (indica)	June 14, 2016	27208292, 23849131	J023107M18	13483
Os01t0104600-02	Os01g0104600	Similar to Light-mediated development protein DET1 (Deetiolated1 homolog) (tDET1) (High pigmentation protein 2) (Protein dark green).					OsDET1	DE-ETIOLATED1		De-etiolated protein 1, Det1 (IPR019138)	AK058683 (DDBJ, Best hit)	D0EW63 (UniProt)			001-019-A06	13483
Os01t0104800-01	Os01g0104800	Sas10/Utp3 family protein.							Biological Process: gene silencing (GO:0016458), Cellular Component: nucleus (GO:0005634)	Sas10/Utp3/C1D (IPR007146), Something about silencing protein 10 (Sas10),  C-terminal (IPR018972)	AK067602 (DDBJ, Best hit)	B9EYS2 (UniProt)			J013109E04	
Os01t0104800-02	Os01g0104800	Hypothetical conserved gene.							Biological Process: gene silencing (GO:0016458), Cellular Component: nucleus (GO:0005634)	Sas10/Utp3/C1D (IPR007146), Something about silencing protein 10 (Sas10),  C-terminal (IPR018972)	AK103287 (DDBJ, Best hit)	B9EYS2 (UniProt)			J033124N04	
Os01t0104900-01	Os01g0104900	Transferase family protein.							Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)	Transferase (IPR003480), Chloramphenicol acetyltransferase-like domain (IPR023213)	AK121535 (DDBJ, Best hit)	A2WJP7 (UniProt)			J033031D14	
Os01t0104900-02	Os01g0104900	Hypothetical conserved gene.							Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)	Transferase (IPR003480), Chloramphenicol acetyltransferase-like domain (IPR023213)	AK071797 (DDBJ, Best hit)	Q657X9 (UniProt)			J023113I10	
Os01t0105300-01	Os01g0105300	Similar to HAT family dimerisation domain containing protein, expressed.									AK072732 (DDBJ, Best hit)	Q2R271 (UniProt)			J023138L22	
Os01t0105400-01	Os01g0105400	Similar to Kinesin heavy chain.							Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)	Kinesin, motor domain (IPR001752)	AK106913 (DDBJ, Best hit)	Q93XG2 (UniProt)			002-119-A09	
Os01t0105700-01	Os01g0105700	Basic helix-loop-helix dimerisation region bHLH domain containing protein.					OsbHLH071, bHLH071, bHLH71	basic helix-loop-helix protein 071		Helix-loop-helix DNA-binding (IPR011598)	AK119493 (DDBJ, Best hit)	Q657Z3 (UniProt)			001-134-D09	15358
Os01t0105800-01	Os01g0105800	Similar to Iron sulfur assembly protein 1.			ISC9	IRON-SULFUR CLUSTER PROTEIN 9	OsISC9	Iron-sulfur cluster protein 9	Biological Process: iron-sulfur cluster assembly (GO:0016226), Molecular Function: structural molecule activity (GO:0005198), Molecular Function: iron-sulfur cluster binding (GO:0051536)	FeS cluster biogenesis (IPR000361), FeS cluster insertion (IPR016092), FeS cluster insertion, C-terminal, conserved site (IPR017870)	AK066672 (DDBJ, Best hit)	NP_001147131.1 (RefSeq)			J013071F21	13424
Os01t0105900-01	Os01g0105900	PfkB carbohydrate kinase protein, Regulation of plant height and leaf structure	DNL-4	dwarf and narrow leaf 4	DNL4	DWARF AND NARROW LEAF 4	DNL-4, OsDNL-4, OsDNL4	dwarf and narrow leaf 4		Ribokinase-like (IPR029056), Carbohydrate kinase PfkB (IPR011611)	AK066907	Q657Z1	December 11, 2020	33300429	J013092I02	23848
Os01t0106200-01	Os01g0106200	Similar to RER1A protein (AtRER1A).							Cellular Component: integral to membrane (GO:0016021)	Retrieval of early ER protein Rer1 (IPR004932)	AK060999 (DDBJ, Best hit)	B6TRU3 (UniProt)			006-203-F05	
Os01t0106300-01	Os01g0106300	Similar to Isoflavone reductase homolog IRL (EC 1.3.1.-).							Molecular Function: nucleotide binding (GO:0000166)	NmrA-like (IPR008030), NAD(P)-binding domain (IPR016040)	AK098946 (DDBJ, Best hit), AK061325 (DDBJ, Best hit), AK104189 (DDBJ, Best hit), AK104238 (DDBJ, Best hit), AK104669 (DDBJ, Best hit), AK104735 (DDBJ, Best hit), AK119550 (DDBJ, Best hit)	Q8VYH7 (UniProt)			J013045H04, 006-302-G05, 006-303-C06, 006-307-H12, 006-312-B02, 001-038-D01, 001-207-E04	
Os01t0106400-01	Os01g0106400	Isoflavone reductase-like protein, Homeostasis of reactive oxygen species (ROS)	OsIRL	isoflavone reductase-like	IRL	ISOFLAVONE REDUCTASE-LIKE PROTEIN	OsIRL	isoflavone reductase-like gene		NAD(P)-binding domain superfamily (IPR036291), NmrA-like domain (IPR008030)	AK102701, AK109339	Q9FTN5	October 22, 2020	19825006, 14651265	J033103L17, 006-202-E10	23793
Os01t0106500-01	Os01g0106500	Conserved hypothetical protein.									AK242772 (DDBJ, Best hit)	NP_001172120.1 (RefSeq)			J090053L06	
Os01t0106600-01	Os01g0106600	Similar to Chitin-binding lectin 1 precursor (PL-I).									AK061314 (DDBJ, Best hit)	A2ZNC8 (UniProt)			006-302-C12	
Os01t0106700-01	Os01g0106700	PI3Kc (Phosphoinositide 3-kinasecatalytic domain) and FATC (FRAP, ATM, TRRAP C-terminal) domain containing protein, ATM homolog, Accurate repair of meiotic double-strand breaks	OsATM	ATAXIA TELANGIECTASIA-MUTATED	ATM	ATR-MEDIATED SIGNALING RESPONSE	OsATM	ATM homolog, ATR-mediated signaling response	Molecular Function: protein binding (GO:0005515), Molecular Function: kinase activity (GO:0016301)	Protein kinase-like domain superfamily (IPR011009), Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily (IPR036940), PIK-related kinase (IPR014009), Phosphatidylinositol 3-/4-kinase, catalytic domain (IPR000403), FATC domain (IPR003152), Phosphatidylinositol 3/4-kinase, conserved site (IPR018936)	XM_015759924	XP_015615410.1	May 19, 2020	32404412		20420
Os01t0106800-01	Os01g0106800	Similar to RING-box protein 1A (Regulator of cullins 1a) (dRbx1).					OsRBX1b, RBX1b	RING-box protein, RING-BOX1b	Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)	Zinc finger, RING-type (IPR001841), Zinc finger, RING/FYVE/PHD-type (IPR013083), Zinc finger, RING-H2-type (IPR024766)	AK059300 (DDBJ, Best hit), AK073331 (DDBJ, Best hit), AK119792 (DDBJ, Best hit)	B6T6J8 (UniProt)			001-025-F02, J033026G05, 002-175-A04	16041
Os01t0106900-01	Os01g0106900	Deoxyxylulose 5-phosphate reductoisomerase	OsDXR	1-deoxy-D-xylulose 5-phosphate reductoisomerase, deoxyxylulose 5-phosphate reductoisomerase			OsDXR, DXR, OsIspC, IspC	1-deoxy-D-xylulose 5-phosphate reductoisomerase, DXP reductoisomerase, deoxyxylulose 5-phosphate reductoisomerase	Biological Process: isoprenoid biosynthetic process (GO:0008299), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: protein binding (GO:0005515), Molecular Function: 1-deoxy-D-xylulose-5-phosphate reductoisomerase activity (GO:0030604), Molecular Function: metal ion binding (GO:0046872), Molecular Function: NADPH binding (GO:0070402)	NAD(P)-binding domain superfamily (IPR036291), DXP reductoisomerase, C-terminal domain superfamily (IPR036169), 1-deoxy-D-xylulose 5-phosphate reductoisomerase (IPR003821), 1-deoxy-D-xylulose 5-phosphate reductoisomerase, N-terminal (IPR013512), 1-deoxy-D-xylulose 5-phosphate reductoisomerase, C-terminal (IPR013644), DXP reductoisomerase C-terminal domain (IPR026877)	AK099702	Q8W250	April 20, 2020	32293285	J013075G02	14685
